File name: DLbad
Downlink Channel Characterization.

good    bad
2740    6
12      1
18      3
2       2
51      5
2       10
19936   1
48      1
3       1
6202    12
6       1
201     4
2       10
84      2
2       1
1       3
1       2
2       1
37      21
2       2
4       1
13      1
9       1
4       1
16      9
4       2
2       14
33      15
99      1
726     1
9       2
2014    1
5       1
815     5
37      9
1125    1
1       3
28      7
1       3
2       1
2527    1
2760    1
431     8
115     1
1       1
93      8
146     13
185     9
33      1
3       1
2       1
3       13
1411    3
785     2
3       1
333     3
222     1
34      1
3       1
93      1
5       5
69      7
2       1
42      1
69      4
128     2
7       1
1       13
2       1
156     1
2       6
1       1
293     4
272     13
335     6
15      6
496     1
603     1
4       3
154     15
3       1
42      16
94      1
66      16
483     16
1278    1
4       1
59      7
116     13
81      1
5       1
5       17
135     5
1       9
2673    15
365     5
2       1
124     1
353     1
347     7
68      302
1       8
725     5
2       7
1499    4
1       8
327     1
60      1
115     1
2       1
1       1
4       3
727     1
126     13
743     1
1       1
194     7
37      8
14      6
54      5
1       8
2       1
237     15
181     4
1535    9
1213    1
11      11
219     3
1149    1
491     21
238     6
1       8
276     1
41      1
28      1
103     5
2       9
242     1
4       26
2       24
1       8
1       8
1       8
1       8
1       8
1       8
1       8
1       8
1       8
1       8
1       8
1       8
1       8
1       8
1       8
1       8
1       8
1       8
1       8
1       8
1       8
1       8
1       8
1       8
1       8
1       8
1       8
1       8
1       8
1       8
1       8
1       8
1       8
1       8
1       8
1       8
1       8
1       8
1       8
1       8
1       8
1       8
1       8
1       8
1       8
1       8
1       8
1       8
1       8
1       8
1       8
1       8
1       8
2       8
1       8
1       8
1       8
1       8
2       17
1       8
1       8
1       8
1       8
1       8
1       8
1       8
1       8
1       8
1       8
1       8
1       8
1       8
1       8
1       8
1       8
2       8
1       8
3       22
2       3
1       1
232     14
1       1
826     1
1       6
221     5
1       8
221     5
5       5
3       8
336     1
3       1
85      3
7       1
42      12
23      1
4       4
1       2
3       7
208     20
3       8
1       8
1       8
1       8
1       8
1       8
2       8
5       8
2       8
1       8
1       8
1       8
3       8
1       8
1       8
1       8
1       8
2       8
1       8
1       8
1       8
1       8
1       8
1       8
3       8
1       8
1       8
1       8
4       8
0       8
1       8
1       8
1       8
1       8
1       8
4       8
0       8
1       8
1       8
3       8
1       8
1       8
2       8
1       8
1       8
1       8
5       8
1       8
1       8
1       8
1       8
1       8
1       8
1       8
1       8
1       8
2       8
6       8
2       8
3       8
1       8
2       8
3       8
1       8
1       8
1       8
1       8
3       8
1       8
1       8
1       8
1       8
2       9
238     5
1       7
88      12
140     11
5       4
1       9
2130    11
3263    11
128     5
1       9
3251    9
5       14
5       4
2       8
1       1
2       1
15      1
14      4
42      14
91      1
1       2
1       2
1       13
48      1
15      1
3       1
5       6
2       6
1       15
11      1
39      16
28      1
18      1
5       2
3       1
15      1
3       12
52      8
95      5
2       10
137     1
4       1
2       1
102     15
1       41
159     1
6       1
35      15
4334    1
2       5
1       2
146     2
1993    1
3       1
174     2
1213    14
1       1
52      2
1       2
215     16
12      4
2       1
3       13
86      16
2       1
37      9
6       1
9       1
3       2
7       1
5       13
3       1
4       10
1       8
39      7
5       15
186     15
233     53
2       7
89      1
16      21
1       1
31      14
127     9
83      1
2       1
118     3
160     33
2       2
4       8
168     16
118     45
59      1
36      10
3       1
28      1
2       11
2       1
90      1
142     3
4       1
4       5
9       1
25      1
2       2
77      6
86      6
28      2
2       5
2       2
23      1
22      9
68      1
2       2
29      1
1       4
79      8
15      15
24      10
5       2
2       1
58      1
58      1
95      7
2       2
2       1
3       4
152     21
48      8
3       9
170     1
5       18
103     12
2       6
14      12
2       1
7       1
1       8
1       6
6       1
2       8
4       1
16      6
2       1
4       1
2       1
42      1
7       1
3       1
2       7
5       1
18      1
1       9
13      9
2       2
23      1
2       3
1       1
2       1
20      5
42      6
2       1
5       3
31      1
82      7
55      1
1       5
35      8
45      9
2       2
6       10
94      8
63      15
2       1
78      2
2       1
56      2
2       3
1       1
18      8
169     1
8       1
94      2
19      3
2       1
8       1
3       1
13      5
67      8
260     1
1       9
46      1
75      1
1       1
7       12
53      28
3       1
3       11
132     5
55      1
2       2
10      26
1       1
2       1
25      8
34      1
35      1
4       3
1       8
2       1
3       7
2       8
2       1
154     2
1       4
2       2
14      1
2       1
2       2
4       1
1       1
56      17
2       1
2       2
2       2
2       1
4       23
4       16
49      5
145     3
35      1
2       13
29      1
1       26
77      3
72      14
1       1
10      1
2       23
47      1
27      10
1       28
107     21
65      19
1       10
16      19
12      15
1       1
2       13
2       1
47      17
1       9
30      1
4       1
182     3
2       1
118     50
39      15
2       1
1       1
79      8
60      8
196     2
2       1
5       1
3       29
285     2
1       21
4       2
1       1
29      6
16      10
10      1
1       5
2       1
54      1
2       2
207     7
35      1
2       1
2       2
5       4
1       1
4       7
2       1
5       1
2       1
23      2
1       1
2       1
5       16
24      31
37      11
6       1
1       12
2       1
15      3
30      13
58      3
18      68
66      1
2       1
60      1
12      1
2       2
2       2
313     11
2       1
6       1
24      1
97      5
24      2
2       1
2       2
2       1
24      7
136     2
170     1
80      4
1       1
6       35
14      2
2       2
1       3
2       9
51      7
3       1
5       1
1       1
2       2
3       1
3       9
77      1
1       3
2       1
498     1
7       1
2       3
3       1
2       20
2       7
1       9
112     4
2       36
11      9
12      19
208     6
3       12
2       4
3       5
2       1
6       4
103     1
4       9
5       1
89      1
70      3
9       1
2       7
121     2
1       1
5       13
3       4
8       1
3       6
22      21
96      1
2       1
14      1
1       1
53      7
29      18
4       8
43      16
16      1
1       13
2       1
3       1
118     10
84      1
2       1
5       5
30      1
5       1
4       1
1       3
2       2
2       1
5       11
47      16
1       4
17      12
9       13
17      13
35      1
2       2
6       1
170     2
53      1
53      1
27      2
2       1
6       1
20      13
7       11
2       16
116     1
329     7
4       1
2       14
20      8
14      10
4       1
68      1
4       1
2       1
3       10
728     12
120     1
1       1
4       25
81      18
9       1
4       6
76      3
54      34
33      9
25      21
24      12
9       1
2       3
2       2
2       1
3       1
2       1
1       22
101     1
4       2
2       1
3       1
1       8
7       1
4       1
10      3
2       4
2       20
3       2
2       53
12      12
3       1
34      2
16      45
3       2
3       1
5       2
5       1
20      16
27      12
205     1
2       20
51      1
4       1
330     1
636     1
13      1
2       1
30      1
2       4
2       8
10      1
2       1
2       1
39      7
12      10
33      1
76      1
5       1
1037    2
3265    1
89      1
1       3
2       4
221     1
215     3
4       1
1       1
33      16
1350    1
5       8
337     3
2       1
272     2
1       3
262     5
257     8
2       1
139     27
161     2
267     1
1       32
2       1
19      36
5       2
2       1
2       2
26      1
2       2
2       1
1       1
66      2
147     1
2       1
572     11
2       2
1       4
47      1
3       2
16      3
1       6
27      6
2       2
3       1
2       24
731     2
1       1
57      14
9       1
266     1
624     1
4       1
29      1
17      18
23      2
118     6
2       1
58      1
79      9
19      8
713     7
2       2
3       1
2       8
1       1
167     17
29      9
63      1
135     1
252     1
541     1
345     7
2       1
516     1
2       1
427     1
37      2
19      5
2       1
135     1
6       1
232     17
116     5
2       2
7       9
471     3
3       1
658     27
77      2
2       1
59      1
28      7
2       9
1       1
444     1
19      4
191     2
23      1
1       5
1       6
103     8
1       1
2       1
4       1
11      5
271     6
8       6
214     1
219     11
226     6
74      6
5       2
1       5
2       1
2       4
13      6
8       2
2       1
29      1
15      11
2       1
208     8
38      8
137     1
1333    8
2421    1
3       3
2       1
74      1
100     1
59      1
57      2
398     1
2       1
19      3
2       1
863     2
5       2
698     4
2       11
82      21
32      1
2       1
2       1
1966    1
2       1
162     1
389     10
2       1
3       7
125     14
2       1
25      18
14      4
21      256
2       1
72      1
2       1
2       1
345     1
48      1
236     1
2029    1
2       1
2       10
2       1
15      14
2       1
37      22
73      1
5       15
2       2
34      1
32      1
6       8
1       8
657     1
2       1
22      4
28      2
1       3
2       2
2       1
2       1
2       78
2       1
1       6
3       6
2       7
3337    1
755     8
2       2
44      13
2       2
2       4
740     8
56      1
1       12
88      9
4401    6
1780    5
1503    11
17      2
64      5
20      1
5       1
22      37
2       1
1       12
2       1
1631    10
1       1
5       46
68      5
55      2
2       2
2       7
3       1
104     6
47      1
2       8
11      1
6       66
10      6
4       7
473     9
151     4
20      11
8       1
1       4
685     2
5       1
1       24
41      1
11      1
1       1
2       1
2       2
15      6
23      20
11      6
2       2
4       1
114     7
36      7
11      16
260     11
207     1
17      1
2       1
56      1
5       1
1       1
451     5
20      19
62      40
10      9
143     1
4       33
26      1
1       15
2       7
33      13
483     1
117     1
14      12
397     1
2       2
341     1
30      1
2       1
27      2
359     1
76      2
42      1
63      63
1       1
564     1
134     1
